date,roughloc,roughlob,roughlow,roughnec,roughneb,roughnew,roughnic,roughnib,roughniw,loc,lob,low,nec,neb,new,nic,nib,niw
05/09/2020,278962,17339,42244,52262,2084,5197,2151,51,145,277084.4286,17827.42857,45424.28571,50952.57143,2010.428571,5011.857143,2115.142857,51.85714286,148.7142857
06/09/2020,276258,17268,41808,53284,2089,5114,2231,41,150,278891.1429,17880,46804,51457.85714,2027.714286,5097.857143,2187.428571,53.14285714,158.5714286
07/09/2020,279803,18122,50698,47549,1855,4671,2172,59,152,280546.2857,17790.28571,46684.57143,51425.57143,2049.428571,5129.857143,2209.285714,51.85714286,159
08/09/2020,283278,18175,50915,52864,2080,5467,2117,59,163,282643.8571,17744.71429,46737.42857,51543.57143,2070.857143,5164.571429,2199.428571,54.14285714,155.7142857
09/09/2020,283738,17930,50294,51215,2059,4772,2315,56,169,283840.5714,17757.28571,46737.42857,51844.71429,2091.428571,5198.142857,2165.428571,51.85714286,160.1428571
10/09/2020,286370,17611,44643,51532,2155,5444,2318,51,166,284792.5714,17678.57143,46024.14286,52068.14286,2090,5216.857143,2149.714286,51.14285714,162.5714286
11/09/2020,290098,17768,46560,52099,2174,5487,2092,62,145,284249.8571,17462.42857,44223.28571,52374.14286,2145.428571,5274.714286,2103.571429,47.28571429,162.4285714
12/09/2020,287339,17427,42244,54370,2228,5432,1913,35,176,283493.7143,17329.71429,43088.85714,52103.57143,2158.571429,5266.428571,2093,45.71428571,159.2857143
13/09/2020,282922,16717,36815,54848,2079,5245,2121,36,167,283114,17276.42857,42376.57143,52220,2179.714286,5331.142857,2063.571429,44.57142857,160
14/09/2020,276004,16609,38092,49691,2243,5076,1849,32,151,282330.4286,17183.28571,42041.28571,52212,2177,5280.142857,2036.571429,45.57142857,159.7142857
15/09/2020,277985,17246,42974,50970,2172,5409,2043,48,141,279810.1429,16995.28571,41024,51639.57143,2170.285714,5209.571429,2038.428571,44,160.1428571
16/09/2020,281080,17557,45308,52030,2207,5225,2109,48,174,278291.8571,16887.42857,40637.85714,,,,2046.142857,45.42857143,159.8571429
17/09/2020,280885,16959,42296,51476,2136,5087,2129,58,164,277138,16887.57143,40943.28571,,,,2032.857143,48.14285714,158.1428571
18/09/2020,272456,16452,39439,48092,2127,4993,2105,51,148,,,,,,,,,
19/09/2020,276711,16672,39541,,,,1967,45,174,,,,,,,,,
20/09/2020,274845,16718,38953,,,,2028,55,155,,,,,,,,,
